userID;fio;phone;login;password;type
1;Минаева Алиса Тимофеевна;89210563128;login1;pass1;Менеджер
2;Воробьев Фёдор Алексеевич;89535078985;login2;pass2;Техник
3;Захарова Алёна Андреевна;89210673849;login3;pass3;Техник
4;Гусева Василиса Дмитриевна;89990563748;login4;pass4;Оператор
5;Миронов Даниэль Львович;89994563847;login5;pass5;Оператор
6;Белов Роман Добрынич;89219567849;login6;pass6;Заказчик
7;Кузин Михаил Родионович;89219567841;login7;pass7;Заказчик
8;Ковалева Софья Владимировна;89219567842;login8;pass8;Заказчик
9;Глухова Вероника Владимировна;89219567843;login9;pass9;Заказчик
10;Князев Арсений Андреевич;89219567844;login10;pass10;Техник
